termos de pesquisa orbit,,,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,,,
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Campanha,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Tipo de campanha,Taxa de conv.,Conversões,Custo / conv.
sistema para drogaria gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
boechat gestão empresarial,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
analise de empresa,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
oitchau,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
controle agil,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gerenciador de provedor de internet,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
service swot analysis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
intelicorp,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
maximizze,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
sisgato,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema tria,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de controle de processos,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
app para oficina mecânica grátis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
opencatman,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gap bi,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
supravizio,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
software de manutenção,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestão e guarda de documentos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
igest pro,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
jestor,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
daily control system,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
company roadmap,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
link gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
atmis gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
ferramenta swot,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como aumentar vendas no ifood,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestao 3.0,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como montar um layout de uma empresa,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot pessoal teste online,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
saida de material do almoxarifado,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot pessoal online,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,2,50%,BRL,"2,07","2,07",Pesquisa,0%,0,0
gestor v3,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
fofa matriz,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planeja facil,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
elegis gestão estratégica,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
matriz esforço x impacto,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
anota ai,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
mónica software,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer parceria,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de controle de vagas rh grátis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
quality digital,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
sistema de gestão de processos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema promax ambev,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema orbita,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,5,0%,BRL,0,0,Pesquisa,0%,0,0
wisecons,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
melhorias de processos,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema para distribuição,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,2,50%,BRL,"36,97","36,97",Pesquisa,0%,0,0
doxmanager,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema para marmoraria gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
orbit,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,5,158,"3,16%",BRL,"7,51","37,53",Pesquisa,0%,0,0
sga gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
swot online,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gerenciamento de processos,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer sua empresa crescer,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
apifull,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
oquesobra,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
biexplorer,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
autem gestao inteligente,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
swot analysis,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
gestao de produtos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,7,0%,BRL,0,0,Pesquisa,0%,0,0
upflux o que é,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
plataforma de produtividade brasil mais produtivo,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
portalevolucao,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
solarq,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
ciclo dourado,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
analise swot empresa,Correspondência exata,Adicionado,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
gestao de demandas,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
orbit templum,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,1,2,50%,BRL,"9,26","9,26",Pesquisa,0%,0,0
modelo diagnóstico,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
ferramenta para fazer organograma,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,2,2,100%,BRL,"4,41","8,81",Pesquisa,0%,0,0
mixti fori,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestio erp,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
gestão de,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,4,0%,BRL,0,0,Pesquisa,0%,0,0
htt acesse one onclj,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema para rh gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
atria gestão oferta digital,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planilha produtiva,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
criar analise swot,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
deskflows,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de planejamento estratégico,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
blink strategies,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
pestal sheet,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
system site,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
exa gestão stand,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema nexdom,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
qontrol ia,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
modelos de plano de negocios,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
shoficina,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
modelo de matriz swot para preencher,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,1,1,100%,BRL,"1,9","1,9",Pesquisa,0%,0,0
unisoma,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
pontta,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
business map,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
rm sistemas,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
muvstok,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
licinexus,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
empresa orbita,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
teste swot online grátis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
strategy house,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
plataforma da produtividade,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema orbit,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
sistema safe,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot para preencher,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de objetivos,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gerentte,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
orbit sistema,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,4,25%,BRL,19,19,Pesquisa,0%,0,0
roadmap pro,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
pcm,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,4,0%,BRL,0,0,Pesquisa,0%,0,0
skywork ai,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,12,0%,BRL,0,0,Pesquisa,0%,0,0
pestwase,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
alpha system,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer o marketing da minha empresa,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
o que é gestão de processos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
lean canvas,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gradus,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
projectmind,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como montar um escopo,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como controlar tarefas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
dicas de marketing para atrair clientes,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
defina gerenciar,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
mapeamento de serviços,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
wiesoo,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
cange,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
criar analise swot,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
zappfy,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
modelo de plano de gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
miniorbit,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
meisterplan,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
o poder da gestao,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
analise de concorrentes,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
analise swot para preencher,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
contaflow,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
dr gestao,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,3,"33,33%",BRL,"2,76","2,76",Pesquisa,0%,0,0
fazer analise swot,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
ah gestao,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,5,0%,BRL,0,0,Pesquisa,0%,0,0
mapeamento de processos empresa,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
octo,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema wave,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
netproj,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gothor,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
evertrack,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
bpmn,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,5,0%,BRL,0,0,Pesquisa,0%,0,0
dashboards o que é,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
gestão interina,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gerenciador provedor,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
tecemos,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
conselhos de empreendedores,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
estratégias de marketing,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
sgp provedor,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer marketing,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,4,0%,BRL,0,0,Pesquisa,0%,0,0
atingir metas,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
orbit templum,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
pm canvas,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,1,6,"16,67%",BRL,"2,36","2,36",Pesquisa,0%,0,0
planilha de erros de funcionários,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema orbit,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,3,11,"27,27%",BRL,"4,2","12,6",Pesquisa,0%,0,0
sistemas de gestão pública,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer um plano de negócio para uma empresa,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestão partilhada,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
kanban,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
zappy agenda,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
aplicativo para ótica gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
swot o que é,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
bizagi gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
fofa swot,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
modeler,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planeja mais,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
skywork ai é gratuito,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
estrategias de vendas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
docuflows,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
